projekt_data_umowa;projekt_cena_umowa;projekt_data_rozpoczecia;projekt_data_zakonczenia;projekt_tryb;projekt_rynek;projekt_metraz;projekt_budzet_planowany;projekt_budzet_zrealizowany;stylistyka_id;inwestycja_id;adres_id;pakiet_id
2022-03-05;6000,00;2022-04-15;2022-05-20;stacjonarny;pierwotny;64,80;40000;38000;6;16;124;3
2021-01-18;18000,00;2022-04-20;2022-09-10;zdalny;pierwotny;148,50;120000;130000;7;;125;6
2022-05-04;4000,00;2022-05-10;2022-07-01;stacjonarny;wtórny;38,90;25000;27000;3;;126;2
2022-05-18;3000,00;2021-06-19;2022-08-09;stacjonarny;wtórny;34,00;25000;28000;2;;127;7
2022-06-20;5000,00;2022-06-25;2022-09-03;zdalny;wtórny;45,80;30000;32000;6;;128;3
2022-07-10;5000,00;2022-08-18;2022-09-12;zdalny;pierwotny;54,50;40000;35000;2;14;129;3
2022-04-04;3000,00;2022-05-10;2022-06-15;zdalny;pierwotny;27,50;25000;26000;6;;130;3
2022-04-04;5000,00;2022-06-10;2022-07-01;zdalny;pierwotny;49,00;40000;38000;7;;131;3
2022-04-04;5000,00;2022-06-17;2022-07-15;zdalny;pierwotny;52,50;40000;43000;8;;132;3
2022-05-10;15000,00;2022-09-01;2022-12-18;stacjonarny;pierwotny;96,80;60000;58000;6;17;133;6
2022-06-12;7000,00;2022-09-10;2022-10-19;zdalny;pierwotny;43,00;35000;37000;8;18;134;3
2022-06-12;8000,00;2022-10-10;2022-10-31;zdalny;pierwotny;67,00;50000;46000;4;18;135;3
2022-07-05;15000,00;2022-07-10;2022-10-10;stacjonarny;pierwotny;69,50;50000;46000;2;2;136;6
2022-08-12;7000,00;2022-09-20;2022-12-15;stacjonarny;wtórny;54,70;40000;36000;7;;137;3
2022-06-10;5000,00;2022-09-01;2022-10-15;stacjonarny;wtórny;28,00;20000;21000;8;;138;3
2022-09-12;4000,00;2022-09-20;2022-10-31;zdalny;pierwotny;15,00;15000;16000;6;;139;7
2022-11-18;5000,00;2022-11-20;2022-12-22;zdalny;pierwotny;13,70;15000;15000;7;;140;7
2022-11-20;7000,00;2022-11-25;2022-12-18;stacjonarny;pierwotny;46,80;40000;41000;7;2;141;3
2022-09-16;4000,00;2022-11-04;2022-12-10;zdalny;pierwotny;48,60;35000;37000;7;14;142;2
2022-12-15;7000,00;2022-12-16;2023-01-28;stacjonarny;wtórny;52,60;40000;42000;7;;143;3
2023-01-04;9000,00;2023-01-10;2023-02-15;stacjonarny;pierwotny;87,50;80000;82000;5;19;144;3
2023-02-10;5000,00;2023-02-15;2023-03-28;zdalny;pierwotny;64,90;40000;41000;4;14;145;2
2023-01-05;12000,00;2023-02-10;2023-05-14;stacjonarny;pierwotny;105,80;40000;43000;6;;146;6
2023-01-12;5000,00;2023-01-20;2023-02-15;zdalny;wtórny;38,60;35000;32000;2;;147;3
2023-02-20;7000,00;2023-04-03;2023-05-20;stacjonarny;pierwotny;54,70;40000;41000;5;2;148;3
2023-03-01;18000,00;2023-03-20;2023-07-30;zdalny;pierwotny;110,70;200000;250000;2;;149;6
2023-04-12;7000,00;2023-04-15;2023-06-01;stacjonarny;pierwotny;47,40;35000;32000;7;4;150;3
2023-05-10;7000,00;2023-05-20;2023-07-15;stacjonarny;wtórny;63,80;40000;41000;7;;151;3
